event_id,source_file,report_month,event_month,data_status,event_name,event_category,target_primary,target_secondary,business_objective,target_behavior,participation_condition,mechanic_type,channel,seasonal_theme,key_message,cta,start_date,end_date,data_quality_status,review_required,source_page
2026-02_TOUCHAWARDS,(wylie)한화생명 2월 월간보고_260311(F).pptx,2026-02,2026-02,mixed,터치어워즈,터치어워즈,FP/Agt.,데이터 없음,FP/Agt. 영업 동기 부여 및 시스템 활동 촉진,"시스템 접속, 미션 수행",미션 1개 이상 완료 시 자동 응모 (문구 초안 기준),"미션 수행, 추첨",고객터치 시스템 웹페이지,데이터 없음,미션 1개만 완료해도 자동 응모,"확인 필요 (개선 제안 단계, 확정 카피 아님: '지금 미션 참여하기' 등 제안)",N/A,N/A,확인 필요,True,slide 4
2026-02_GOLDENWEEK,(wylie)한화생명 2월 월간보고_260311(F).pptx,2026-02,2026-02,mixed,골든위크,골든위크,FP/Agt.,고객,이벤트 참여율 증대,이벤트 참여,확인 필요,추첨,고객터치 시스템 웹페이지,"골든위크(시즌 테마, 매월 반복 프로그램명)",데이터 없음,데이터 없음,N/A,N/A,확인 필요,True,slide 6
2026-02_11CONCERT,(wylie)한화생명 2월 월간보고_260311(F).pptx,2026-02,2026-02,mixed,11시 콘서트,11시 콘서트,FP/Agt.,데이터 없음,FP/Agt. 대상 프리미엄 경험 제공을 통한 관계 강화,공연 응모,사연 응모 (RSVP 운영),"사연 응모, 추첨",고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요,True,slide 7-9
2026-02_DESIGNSUPPORT,(wylie)한화생명 2월 월간보고_260311(F).pptx,2026-02,2026-02,mixed,설계지원팀장,설계지원팀장,설계지원팀장,데이터 없음,설계지원팀장 대상 특별 초대/혜택을 통한 관계 강화,이벤트 참여,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요,True,slide 5
2026-03_TOUCHAWARDS,(wylie)한화생명 3월 월간보고_260402(F).pptx,2026-03,2026-03,확인 필요,터치어워즈,터치어워즈,FP/Agt.,데이터 없음,"확인 필요(3월 보고서 SUMMARY에 이름만 나열, 상세 리뷰 슬라이드 없음)",미션 수행,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요(SUMMARY 슬라이드 나열 외 원문 텍스트 없음),True,slide 3
2026-03_GOLDENWEEK,(wylie)한화생명 3월 월간보고_260402(F).pptx,2026-03,2026-03,확인 필요,골든위크,골든위크,FP/Agt.,고객,확인 필요(SUMMARY 나열 외 상세 리뷰 없음),이벤트 참여,확인 필요,확인 필요,고객터치 시스템 웹페이지,골든위크,데이터 없음,데이터 없음,N/A,N/A,확인 필요(SUMMARY 슬라이드 나열 외 원문 텍스트 없음),True,slide 3
2026-04_GWANGJU_CULTURE,(wylie)한화생명 3월 월간보고_260402(F).pptx,2026-03,2026-04,확인 필요,지방문화혜택_광주공연,지방문화혜택,FP/Agt.,데이터 없음,지방 소재 FP/Agt. 대상 문화 혜택 확대,"미션 수행, 공연 응모","미션 완료(하이브리드카드 노출 훈련, 카테리아프&카드케이스, 임님심 위험신호&해법 등 3종 미션)","미션 수행, 추첨",고객터치 시스템 웹페이지,지방문화혜택 확대,미션 참여 혜택 - 지휘자 백윤학·보컬 이희주 출연 오케스트라 콘서트,콘텐츠 보러 가기 / 티켓 받으러 가기,N/A,N/A,"확인 필요(보고월 3월 vs 명시된 진행월 4월 불일치, 원문 재확인 필요)",True,slide 3-5 (이미지: image14~22.png)
2026-03_ONESHEET,(wylie)한화생명 3월 월간보고_260402(F).pptx,2026-03,2026-03,mixed,원시트·소식지,원시트·소식지,FP/Agt.,고객,고객 터치 콘텐츠를 통한 신상품(치매) 안내 및 이벤트 연계,"고객 터치 발송, 설문·퀴즈 응답",확인 필요,"설문, 퀴즈","원시트/소식지(한금서, GA)",신상품(치매) 출시 연계,신상품 치매 관련 가족·행복 메시지,데이터 없음,N/A,N/A,확인 필요,True,slide 7-9
2026-04_TOUCHAWARDS,(wylie)한화생명 4월 월간보고_260507(F).pptx,2026-04,2026-04,확인 필요,터치어워즈,터치어워즈,FP/Agt.,데이터 없음,"확인 필요(4월 보고서는 SUMMARY에 '혜택프로그램 총 5건 제작'만 기재, 개별 이벤트명이 슬라이드 텍스트로 확인되지 않음. 사용자 제공 목록 기준으로 등록)",확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,"확인 필요(원문 텍스트로 이벤트명 미확인 - 사용자 제공 정보로 등록, 원본 이미지 육안 검수 필요)",True,"slide 2 (SUMMARY, 총 5건 제작)"
2026-04_GOLDENWEEK,(wylie)한화생명 4월 월간보고_260507(F).pptx,2026-04,2026-04,확인 필요,골든위크,골든위크,FP/Agt.,고객,확인 필요(사유는 위 터치어워즈 항목과 동일),확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,골든위크,데이터 없음,데이터 없음,N/A,N/A,확인 필요(원문 텍스트로 이벤트명 미확인 - 사용자 제공 정보로 등록),True,slide 2 (SUMMARY)
