performance_id,event_id,exposure_count,unique_visitor_count,participant_count,mission_complete_count,share_count,touch_send_count,customer_response_count,repeat_participant_count,winner_count,completion_rate,participation_rate,share_rate,touch_conversion_rate,cost_per_participant,cost_per_completion,previous_event_value,change_rate,qualitative_result,evidence_type,confidence_level,source_page,review_kind
PERF-0001,2026-01_GOLDENWEEK,N/A,29730,9063,N/A,N/A,N/A,33016,N/A,N/A,N/A,30.5,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_1월_시그니처H통합건강보험_260107-260123.xlsx (일별 로그 합계(2026-01-07~2026-01-23, 17일)) - 방문/클릭 29,730, 수신고객 33,016, 참여(응모) 9,063. PV수(클릭수) 29,730건을 이벤트 페이지 방문수로, 총_응모고객수 9,063명을 참여자 수로 사용. 참고: xlsx 전사 2026-01 고객응모 집계는 10,871명으로 이 값보다 다소 크며, 1월 중 다른 이벤트 응모분이 섞여 있거나 응모 기간이 로그 수집 기간(1/7~1/23) 밖으로 일부 벗어났을 가능성이 있어 완전히 일치하지 않음(확인 필요).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-01-07~2026-01-23, 17일)",N/A
PERF-0002,2026-02_TOUCHAWARDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"‘미션 1개만 완료해도 자동 응모’와 같은 주요 혜택 문구를 더 크게, 더 직접적으로 강조하여 사용자가 첫 화면에서 쉬운 참여 조건을 알 수 있도록 구성 고민 필요",C,정성 리뷰(수치 아님),slide 4,improve
PERF-0003,2026-02_TOUCHAWARDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,설계사 대상 이벤트 특성을 고려해 생활밀착형 경품과 실무 활용도가 높은 보상을 중심으로 구성 고민 필요,C,정성 리뷰(수치 아님),slide 4,improve
PERF-0004,2026-02_GOLDENWEEK,N/A,21239,8403,N/A,N/A,N/A,24940,N/A,N/A,N/A,39.6,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_2월_설날맞이_260202-260220.xlsx (일별 로그 합계(2026-02-02~2026-02-20, 19일)) - 방문/클릭 21,239, 수신고객 24,940, 참여(응모) 8,403. PV수(클릭수) 21,239건을 이벤트 페이지 방문수로, 총_응모고객수 8,403명을 참여자 수로 사용. 참고: xlsx 전사 2026-02 고객응모 집계는 8,981명으로, 같은 달 11시콘서트 응모(1,645명, 응모기간이 1월 말~2월 초에 걸침)를 더하면 총합이 전사 집계를 초과함 - 응모 기간이 월 경계를 넘나들어 정확한 월별 합산과는 차이가 있으므로 참고용으로만 사용(확인 필요).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-02-02~2026-02-20, 19일)",N/A
PERF-0005,2026-02_GOLDENWEEK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"매번 다양한 경품을 제공하는 것도 의미가 있지만, 실제 이벤트 참여율을 증대하는 모바일 금액권 중심으로 전개 제안 ex. 아메리카노 쿠폰(X) -> 스타벅스 상품권(O)",C,정성 리뷰(수치 아님),slide 6,improve
PERF-0006,2026-02_GOLDENWEEK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,참여율 증대 측면에서 컨셉 카피에 치중하기보다는 조금 더 직관적이고 후킹성 있는 컨셉 도출 필요,C,정성 리뷰(수치 아님),slide 6,improve
PERF-0007,2026-02_11CONCERT,N/A,13254,1645,N/A,N/A,N/A,14126,N/A,N/A,N/A,12.4,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_11시콘서트_2월_오페레타특집_260121-260203.xlsx (일별 로그 합계(2026-01-21~2026-02-03, 14일, 2월 공연분 응모 기간)) - 방문/클릭 13,254, 수신고객 14,126, 참여(응모) 1,645. PV수(클릭수) 13,254건을 이벤트 페이지 방문수로, 총_응모고객수 1,645명을 참여자 수로 사용. 응모 기간이 1월 말~2월 초에 걸쳐 있어 월별 KPI 집계와 정확히 대응하지 않음(위 골든위크 2월 항목 참고).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-01-21~2026-02-03, 14일, 2월 공연분 응모 기간)",N/A
PERF-0008,2026-02_11CONCERT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,당첨자 대상 1인당 경품비를 1천원선으로 줄이고 당첨 인원을 늘려 FP/Agt 입장에서 당첨 확률을 높이는 방안 제안 *기존 진행 여부 또는 금월 데이터 확인 필요,C,정성 리뷰(수치 아님),slide 7-9,improve
PERF-0009,2026-02_11CONCERT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,당첨자 선정 기준을 단계별 우선순위 필터 방식으로 정리: ①전월 당첨자·정보누락 제외 ②3개월 이상 미당첨 우선 ③동일 최상위 송신자 최대 2인 ④소속별 비율 조정 ⑤사연 검토,C,정성 리뷰(수치 아님),slide 7-9,process
PERF-0010,2026-02_DESIGNSUPPORT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"상단 키비주얼은 설계지원팀장만을 위한 초대 콘셉트로 제작되었으며, 컬러와 비주얼 무드를 통해 신뢰감과 특별 혜택의 이미지를 동시에 전달",C,정성 리뷰(수치 아님),slide 5,observation
