benefit_id,event_id,benefit_name,benefit_type,benefit_tier,benefit_value,winner_count,benefit_budget,minimum_reward_value,reward_method,scarcity_type,premium_level,practicality_level,seasonality_level,data_quality_status,source_page
BEN-0001,2026-02_GOLDENWEEK,"모바일 금액권(제안, 예: 스타벅스 상품권)",모바일 금액권,main,N/A,N/A,N/A,N/A,확인 필요,확인 필요,낮음(실속형 제안),높음,중간,"확인 필요(리뷰 단계의 제안안, 확정 지급 내역 아님)",slide 6
BEN-0002,2026-04_GWANGJU_CULTURE,지휘자 백윤학·보컬 이희주 출연 지브리&디즈니 영화음악 오케스트라 콘서트 티켓(FP 대상 프리미엄),공연·문화,main,N/A,N/A,N/A,N/A,미션 달성,1년에 한 번(연 1회 한정 강조),높음,낮음,낮음(연 1회성 프리미엄 경험),"확인 필요(당첨 인원/예산 원문 미기재, 슬라이드 이미지 육안 확인 결과)",slide 5 (image22.png)
BEN-0003,2026-05_TOUCHAWARDS,"프리미엄 경품(원시트 메인 요소로 재활용됨, 상세 미기재)",프리미엄 상품,main,N/A,N/A,N/A,N/A,확인 필요,확인 필요,높음,확인 필요,확인 필요,"확인 필요(슬라이드7 코멘트에서 간접 언급, 실제 경품명 미기재)",slide 7
BEN-0004,2026-06_SALESBOOST_PLAN,"골드바(비주얼 모티브, 프리미엄 경품)",프리미엄 상품,main,N/A,N/A,N/A,N/A,확인 필요,확인 필요,높음,낮음,낮음,"확인 필요(비주얼 모티브로만 언급, 실제 지급 경품 확정 여부 불명)",slide 5
BEN-0005,2026-08_GOLDENWEEK_PLAN,GS25 금액권 1만원,모바일 금액권,main,10000,N/A,N/A,1000,즉석 당첨,확률형(슬롯머신),낮음,높음,중간,"A(표 직접 기재, 단 메인/서브 개별 당첨 인원 배분은 표에 합계만 있어 확인 필요)",slide 3
BEN-0006,2026-08_GOLDENWEEK_PLAN,GS25 금액권 1천원,모바일 금액권,sub,1000,N/A,N/A,1000,즉석 당첨,확률형(슬롯머신),낮음,높음,중간,"A(표 직접 기재, 개별 배분 확인 필요)",slide 3
BEN-0007,2026-08_GOLDENWEEK_PLAN,(전체 합계),합계,N/A,N/A,20000,38000000,N/A,데이터 없음,데이터 없음,데이터 없음,데이터 없음,데이터 없음,A(표 합계 직접 기재),"slide 3 (8월 프로모션 경품 운영 기획안 표), slide 4"
BEN-0008,2026-08_TOUCHAWARDS_PLAN,한화 호텔앤드리조트 30만원 상품권,숙박·여행,main,300000,N/A,N/A,N/A,추첨,마지막 기회(마감 임박 강조),높음,중간,중간,"A(표 직접 기재, 개별 당첨 인원 배분은 확인 필요)",slide 3
BEN-0009,2026-08_TOUCHAWARDS_PLAN,서울세계불꽃축제 티켓 2매,공연·문화,sub,N/A,N/A,N/A,N/A,추첨,시즌 한정,높음,낮음,높음,"A(표 직접 기재, 개별 배분 확인 필요)",slide 3
BEN-0010,2026-08_TOUCHAWARDS_PLAN,설빙 인절미 아이스크림,식음료,entry,N/A,N/A,N/A,N/A,확인 필요,확인 필요,낮음,높음,높음,"A(표 직접 기재, 개별 배분 확인 필요)",slide 3
BEN-0011,2026-08_TOUCHAWARDS_PLAN,(전체 합계),합계,N/A,N/A,195,4150000,N/A,데이터 없음,데이터 없음,데이터 없음,데이터 없음,데이터 없음,A(표 합계 직접 기재),"slide 3, slide 5"
BEN-0012,2026-08_11CONCERT_PLAN,11시콘서트 티켓,공연·문화,main,N/A,"확인 필요(원문 표기 '30ㅈ', 텍스트 추출 오류 의심)",N/A,N/A,추첨,확인 필요,중간,낮음,높음,확인 필요(원문 표기 오류 의심),slide 3
BEN-0013,2026-08_11CONCERT_PLAN,투썸플레이스 생수&주스,식음료,sub,N/A,N/A,N/A,N/A,확인 필요,확인 필요,낮음,높음,높음,"A(표 직접 기재, 개별 배분 확인 필요)",slide 3
BEN-0014,2026-08_11CONCERT_PLAN,(전체 합계),합계,N/A,N/A,N/A,195000,N/A,데이터 없음,데이터 없음,데이터 없음,데이터 없음,데이터 없음,확인 필요,"slide 3, slide 6 / 내부_11시콘서트_8월_신사들의오페라_260715-260731.xlsx"
BEN-0015,2026-08_DESIGNSUPPORT_PLAN,신세계상품권 5만원권,상품권,main,50000,N/A,N/A,N/A,확인 필요,확인 필요,중간,높음,낮음,"A(품목·단가는 표 기재, 인원/예산은 '-')",slide 3
BEN-0016,2026-08_DESIGNSUPPORT_PLAN,CU 모바일 금액권 최대 5만원권,모바일 금액권,sub,50000,N/A,N/A,N/A,단계별 차등 지급,확인 필요,낮음,높음,낮음,"A(품목·단가는 표 기재, 인원/예산은 '-')",slide 3
